lo/gos	lo/gos	n-s---mn-
ou(\s	ou(/s	n-p---ma-
kei=no/s	kei=nos	n-s---mn-
kei=no/s	kei=nos	n-s---mn-
pote	pote/	g--------
gh/|ths	ghi/ths	n-s---mn-
o(/pws	o(/pws	c--------
a)/rouran	a)/roura	n-s---fa-
e)/ktopon	e)/ktopos	n-s----a-
e)/ktopon	e)/ktopos	n-s---n--
spei/rwn	spei_/rwn	n-p---ng-
spei/rwn	speira/omai	v3p-ia---
spei/rwn	speira/omai	v1s-ia---
mo/non	mo/nos	n-s---ma-
mo/non	mo/nos	n-s---n--
prosei=de	prosei=don	v3saia---
a(/pac	a(/pac	x--------
toiou=tos	toiou=tos	n-s---mn-
ai)w\n	ai)w/n	n-s---m--
ei)s	ei)s	r--------
do/mous	do/mos	n-p---ma-
do/mous	domo/w	v2s-ia---
te	te	g--------
ka)k	e)k	r--------
do/mwn	do/mos	n-p---mg-
do/mwn	doma/w	v3p-ia---
do/mwn	doma/w	v1s-ia---
ai)ei\	ai)ei/	x--------
to\n	to/n	l-s---ma-
e)/pempe	pe/mpw	v3s-ia---
tw|	tis	n-s----d-
nu=n	nu=n	x--------
a)/qlwn	a_)/qlwn	n-p---ng-
a)/qlwn	a_)/qlwn	n-p---mg-
u(pertelh\s	u(pertelh/s	n-s----n-
e)/fu	e)/fu_	v3saia---
e)ntau=qa	e)ntau=qa	x--------
dh\	dh/	g--------
ma/lista	ma/lista	x--------
e)/xw	e)/xw	v1spsa---
e)/xw	e)/xw	v1spia---
e)/xw	xo/w	v3s-ia---
e)c	e)k	r--------
ou(=	e(/	n-s----g-
ou(=	i(/hmi	v--amm---
ou(=	o(/s	n-s----g-
ou(=	ou(=	x--------
ga\r	ga/r	g--------
e)/kta	ktei/nw	v3saia---
kei=nos	e)kei=nos	n-s---mn-
kei=nos	kei=nos	n-s---mn-
bi/an	bi/a_n	n-s---fa-
bi/an	bi/a_n	v3p-ia---
bi/an	bi/a_n	v1s-ia---
bi/an	bi/a_n	v3p-ia---
bi/an	bi/a_n	v1s-ia---
h(mei=s	e)gw/	n1p------
me\n	me/n	g--------
e)n	e)n	r--------
e)n	ei)s	r--------
a)na/statoi	a)na/statos	n-p------
ce/nw|	ce/nos1	n-s---md-
ce/nw|	ce/nos2	n-s----d-
ce/nw|	ce/nos2	n-s----d-
a)ndri\	a)ndri/	n-s---fv-
a)ndri\	a)ndri/	n-s---md-
nai/omen	nai/w1	v1ppia---
nai/omen	nai/w1	v1p-ia---
nai/omen	nai/w2	v1ppia---
nai/omen	nai/w2	v1p-ia---
kei=nos	e)kei=nos	n-s---mn-
kei=nos	kei=nos	n-s---mn-
o(/pou	o(/pou	x--------
be/bhken	bai/nw	v3sria---
be/bhken	bai/nw	v3plia---
ou)dei\s	ou)dei/s	n-s---m--
oi)=de	oi)=da	v3sria---
plh\n	plh/n	r--------
e)moi\	e)moi/	n1s----d-
e)moi\	e)moi/	n-p---m--
pikra\s	pikra/s	n-s---fn-
pikra\s	pikra_/s	n-p---fa-
w)di=nas	w)di/s	n-p---fa-
au)tou=	au)to/s	n-s---ng-
au)tou=	au)to/s	n-s---mg-
au)tou=	au)tou=	x--------
a)poi/xetai	a)poi/xomai	v3spie---
sxedo\n	sxedo/n	x--------
e)pi/stamai/	e)pi/stamai	v1spie---
e)pi/stamai/	e)pi/stamai	v1spie---
ti	tis	n-s---n--
nin	nin	n3s----a-
xro/non	xro/nos	n-s---ma-
ga\r	ga/r	g--------
ou)xi\	ou)xi/	x--------
baio/n	baio/s	n-s---ma-
baio/n	baio/s	n-s---n--
h)/dh	h)/dh	x--------
h)/dh	h)_/dh	n-p---n--
h)/dh	h)_/dh	n-d---n--
de/ka	de/ka	x--------
de/ka	de/ka_	v2spma---
